datetime,count
2011-01-20 00:00:00,11.42
2011-01-20 01:00:00,4.9
2011-01-20 02:00:00,4.02
2011-01-20 03:00:00,3.29
2011-01-20 04:00:00,2.68
2011-01-20 05:00:00,6.94
2011-01-20 06:00:00,36.58
2011-01-20 07:00:00,107.47
2011-01-20 08:00:00,236.11
2011-01-20 09:00:00,137.17
2011-01-20 10:00:00,61.02
2011-01-20 11:00:00,63.78
2011-01-20 12:00:00,78.4
2011-01-20 13:00:00,73.9
2011-01-20 14:00:00,80.57
2011-01-20 15:00:00,82.79
2011-01-20 16:00:00,92.91
2011-01-20 17:00:00,206.9
2011-01-20 18:00:00,180.34
2011-01-20 19:00:00,100.71
2011-01-20 20:00:00,69.67
2011-01-20 21:00:00,51.52
2011-01-20 22:00:00,46.49
2011-01-20 23:00:00,27.98
2011-01-21 00:00:00,15.76
2011-01-21 01:00:00,6.7
2011-01-21 02:00:00,4.6033333333333335
2011-01-21 03:00:00,2.351666666666667
2011-01-21 04:00:00,2.05
2011-01-21 05:00:00,4.0
2011-01-21 06:00:00,35.41
2011-01-21 07:00:00,101.66
2011-01-21 08:00:00,202.03
2011-01-21 09:00:00,131.81
2011-01-21 10:00:00,50.75
2011-01-21 11:00:00,62.76
2011-01-21 12:00:00,71.52
2011-01-21 13:00:00,66.98
2011-01-21 14:00:00,63.45
2011-01-21 15:00:00,62.95
2011-01-21 16:00:00,77.97
2011-01-21 17:00:00,158.95
2011-01-21 18:00:00,157.25
2011-01-21 19:00:00,104.81
2011-01-21 20:00:00,64.82
2011-01-21 21:00:00,45.64
2011-01-21 22:00:00,32.96
2011-01-21 23:00:00,21.78
2011-01-22 00:00:00,23.74
2011-01-22 01:00:00,18.97
2011-01-22 02:00:00,13.49
2011-01-22 03:00:00,9.08
2011-01-22 04:00:00,2.49
2011-01-22 06:00:00,4.53
2011-01-22 07:00:00,17.77
2011-01-22 08:00:00,26.735
2011-01-22 09:00:00,32.221666666666664
2011-01-22 10:00:00,57.21
2011-01-22 11:00:00,60.59
2011-01-22 12:00:00,72.73
2011-01-22 13:00:00,78.49
2011-01-22 14:00:00,71.19
2011-01-22 15:00:00,72.26
2011-01-22 16:00:00,71.51
2011-01-22 17:00:00,90.15
2011-01-22 18:00:00,60.67
2011-01-22 19:00:00,45.66
2011-01-22 20:00:00,45.46
2011-01-22 21:00:00,40.24
2011-01-22 22:00:00,34.09
2011-01-22 23:00:00,20.6
2011-01-23 00:00:00,27.82
2011-01-23 01:00:00,20.51
2011-01-23 02:00:00,14.59
2011-01-23 03:00:00,13.446666666666667
2011-01-23 05:00:00,2.77
2011-01-23 06:00:00,2.21
2011-01-23 07:00:00,8.7
2011-01-23 08:00:00,16.79
2011-01-23 09:00:00,25.33
2011-01-23 10:00:00,52.8
2011-01-23 11:00:00,59.99
2011-01-23 12:00:00,67.74
2011-01-23 13:00:00,65.89
2011-01-23 14:00:00,68.95
2011-01-23 15:00:00,69.0
2011-01-23 16:00:00,72.43
2011-01-23 17:00:00,73.04
2011-01-23 18:00:00,69.64
2011-01-23 19:00:00,51.62
2011-01-23 20:00:00,33.13
2011-01-23 21:00:00,30.44
2011-01-23 22:00:00,18.79
2011-01-23 23:00:00,13.3
2011-01-24 00:00:00,11.1
2011-01-24 01:00:00,4.43
2011-01-24 03:00:00,2.02
2011-01-24 04:00:00,2.24
2011-01-24 05:00:00,6.09
2011-01-24 06:00:00,30.04
2011-01-24 07:00:00,83.22
2011-01-24 08:00:00,182.71
2011-01-24 09:00:00,106.45
2011-01-24 10:00:00,47.12
2011-01-24 11:00:00,41.29
2011-01-24 12:00:00,54.66
2011-01-24 13:00:00,47.49
2011-01-24 14:00:00,42.76
2011-01-24 15:00:00,58.99
2011-01-24 16:00:00,68.21
2011-01-24 17:00:00,157.67
2011-01-24 18:00:00,151.55
2011-01-24 19:00:00,100.52
2011-01-24 20:00:00,65.84
2011-01-24 21:00:00,50.37
2011-01-24 22:00:00,24.85
